Date,Actual_Price,Predicted_Price,Percentage_Error
2024-05-12,2929.29,2932.5046,0.10974122302247426
2024-05-13,2950.99,2919.7805,1.0575936354198008
2024-05-14,2881.93,2927.6782,1.5874161640376472
2024-05-15,3032.55,2913.5305,3.9247327306021393
2024-05-16,2944.7,2956.6646,0.40630796961490756
2024-05-17,3092.01,2966.8545,4.047707084145919
2024-05-18,3122.94,3021.1611,3.2590721303483274
2024-05-19,3071.1900000000005,3079.265,0.26292390174897967
2024-05-20,3661.78,3095.6829,15.45961632517178
2024-05-21,3789.6,3329.5999,12.13848813817751
2024-05-22,3737.73,3591.196,3.9203996831800323
2024-05-23,3783.61,3731.8193,1.368816132278436
2024-05-24,3728.28,3792.6572,1.726727245874768
2024-05-25,3749.26,3772.5684,0.6216789279751145
2024-05-26,3826.47,3740.7046,2.2413715554087656
2024-05-27,3894.22,3747.2356,3.7744247704771383
2024-05-28,3844.6900000000005,3789.7004,1.430272936098242
2024-05-29,3767.43,3804.053,0.9720944653417626
2024-05-30,3747.91,3772.7793,0.6635510691291986
2024-05-31,3762.29,3734.1255,0.7486002333352815
2024-06-01,3815.82,3715.9954,2.6160730504026697
2024-06-02,3780.91,3735.4412,1.2025897969172727
2024-06-03,3767.06,3744.5593,0.5973006489974927
2024-06-04,3810.23,3743.2905,1.7568354838487443
2024-06-05,3865.99,3758.803,2.772563340421853
2024-06-06,3813.46,3796.6946,0.4396380169681873
2024-06-07,3678.32,3802.7288,3.382216875248071
2024-06-08,3681.57,3740.0144,1.587485890445512
2024-06-09,3706.4,3685.4683,0.5647457986523335
2024-06-10,3667.8500000000004,3665.1633,0.07324917654417065
2024-06-11,3497.3299999999995,3647.7185,4.300094811166677
2024-06-12,3560.12,3569.1406,0.25337980180443664
2024-06-13,3469.4,3533.3064,1.8420013974858738
2024-06-14,3481.8,3486.7302,0.14159987964199028
2024-06-15,3568.74,3463.5566,2.9473528297101996
2024-06-16,3624.41,3493.5117,3.6115748839121364
2024-06-17,3511.46,3551.4421,1.1386186563957716
2024-06-18,3483.42,3548.1038,1.856903840640087
2024-06-19,3560.51,3517.2915,1.2138288080569979
2024-06-20,3513.08,3521.0127,0.22580457355084632
2024-06-21,3518.5,3512.149,0.18050516466534033
2024-06-22,3495.7499999999995,3505.928,0.2911529290030882
2024-06-23,3420.91,3493.1355,2.1112948907417954
2024-06-24,3352.73,3452.8735,2.9869251373134724
2024-06-25,3394.91,3393.36,0.04565342168495938
2024-06-26,3371.44,3369.236,0.06537016870017127
2024-06-27,3450.44,3355.8335,2.7418678170392776
2024-06-28,3380.15,3384.7861,0.137157605801515
2024-06-29,3378.8,3386.8704,0.23885288647226285
2024-06-30,3438.16,3381.0276,1.6617147575847213
2024-07-01,3442.2,3398.823,1.2601534470142588
2024-07-02,3421.35,3417.5684,0.11053065675829452
2024-07-03,3295.48,3420.613,3.797111107012483
2024-07-04,3059.7,3366.244,10.018756625955982
2024-07-05,2981.78,3222.8438,8.084558552274137
2024-07-06,3066.8299999999995,3079.8262,0.42376564318858656
2024-07-07,2931.0,3024.0554,3.1748693252089732
2024-07-08,3019.01,2965.358,1.777141839336412
2024-07-09,3066.65,2966.3027,3.272211228050155
2024-07-10,3101.05,3005.7893,3.071885115021531
2024-07-11,3099.57,3058.2253,1.3338836742878901
2024-07-12,3133.88,3095.192,1.23451138744145
2024-07-13,3175.93,3126.4412,1.558247124169136
2024-07-14,3245.08,3158.933,2.6546924738758344
2024-07-15,3483.39,3204.9895,7.992228778485179
2024-07-16,3444.13,3331.8506,3.2600225329038133
2024-07-17,3387.05,3415.0132,0.8255911071212358
2024-07-18,3426.5,3427.3267,0.024125497045089744
2024-07-19,3503.53,3426.6802,2.1934969650252802
2024-07-20,3517.5,3450.305,1.910307558191187
2024-07-21,3535.92,3475.3347,1.7134234712076368
2024-07-22,3439.6,3497.8594,1.6937834341202491
2024-07-23,3482.51,3470.2058,0.35331382977005715
2024-07-24,3335.81,3456.8613,3.628843612945583
2024-07-25,3175.48,3392.2258,6.825608414416876
2024-07-26,3274.61,3275.9285,0.04026332286516173
2024-07-27,3249.0099999999998,3230.825,0.559710460359456
2024-07-28,3270.16,3214.8533,1.6912545109604684
2024-07-29,3317.66,3226.0415,2.761539642210168
2024-07-30,3279.21,3262.6426,0.5052260109904531
2024-07-31,3232.74,3278.6987,1.421664917956601
2024-08-01,3203.4,3264.6409,1.9117459305932731
2024-08-02,2989.61,3235.0425,8.209514969134766
2024-08-03,2903.6400000000003,3127.502,7.709700690340387
2024-08-04,2688.92,3006.0806,11.79509120413586
2024-08-05,2419.59,2845.2188,17.590945160130428
2024-08-06,2461.3299999999995,2636.0955,7.100448090437917
2024-08-07,2342.8,2504.974,6.922234979244912
2024-08-08,2682.5,2404.2056,10.37444300442684
2024-08-09,2598.7800000000007,2474.1924,4.794080960585376
2024-08-10,2609.9199999999996,2549.0596,2.3318887049219756
